time	speed	target_speed	cte	angle	steer_value
5505	0.000	20.000	0.760	0.000	-75.980
5532	0.876	20.000	0.760	0.000	0.000
5557	1.314	20.000	0.760	-25.000	0.000
5581	1.752	20.000	0.760	0.436	0.000
5607	2.190	20.000	0.760	0.436	0.000
5631	2.628	20.000	0.760	0.436	0.000
5657	3.504	20.000	0.760	0.436	0.000
5682	3.942	20.000	0.760	0.436	0.000
5711	4.380	20.000	0.760	0.436	0.000
5735	5.256	20.000	0.760	0.436	0.000
5761	5.694	20.000	0.760	0.436	0.000
5787	6.132	20.000	0.760	0.436	0.000
5813	6.786	20.000	0.760	0.436	-0.010
5843	4.882	20.000	0.760	0.436	0.010
5869	3.211	20.000	0.760	0.186	0.000
5895	0.564	20.000	0.760	0.686	0.000
5923	0.827	20.000	0.760	0.436	0.010
5949	1.348	20.000	0.760	0.436	0.000
5980	1.875	20.000	0.760	0.686	0.010
6010	1.865	20.000	0.759	0.436	0.010
6035	1.564	20.000	0.759	0.686	0.010
6061	1.383	20.000	0.759	0.686	0.010
6089	1.248	20.000	0.759	0.686	0.000
6118	1.208	20.000	0.759	0.686	0.010
6150	1.264	20.000	0.759	0.436	0.010
6176	1.474	20.000	0.759	0.686	0.020
6207	1.553	20.000	0.759	0.686	0.010
6233	1.699	20.000	0.759	0.936	0.010
6261	1.802	20.000	0.759	0.686	0.010
6293	1.955	20.000	0.758	0.686	0.010
6322	2.147	20.000	0.758	0.686	0.020
6353	2.185	20.000	0.758	0.686	0.010
6385	2.453	20.000	0.758	0.936	0.020
6418	2.684	20.000	0.758	0.686	0.020
6449	2.794	20.000	0.758	0.936	0.010
6482	3.018	20.000	0.757	0.936	0.020
6511	3.134	20.000	0.757	0.686	0.010
6547	3.377	20.000	0.757	0.936	0.020
6580	3.630	20.000	0.757	0.686	0.020
6611	3.765	20.000	0.757	0.936	0.010
6643	4.030	20.000	0.757	0.936	0.010
6672	4.167	20.000	0.757	0.686	0.010
6725	4.447	20.000	0.756	0.686	0.020
6757	4.889	20.000	0.756	0.686	0.040
6785	5.040	20.000	0.756	0.936	0.010
6819	5.343	20.000	0.756	1.436	-0.020
6857	5.496	20.000	0.756	0.686	0.000
6890	5.795	20.000	0.756	-0.064	0.030
6923	6.091	20.000	0.755	0.436	0.040
6962	6.380	20.000	0.755	1.186	0.000
6989	6.522	20.000	0.756	1.436	-0.020
7018	6.800	20.000	0.756	0.436	-0.010
7055	6.937	20.000	0.756	-0.064	0.010
7086	7.206	20.000	0.755	0.186	0.030
7146	7.473	20.000	0.755	0.686	0.010
7191	7.862	20.000	0.756	1.186	-0.060
7221	8.117	20.000	0.756	0.686	-0.060
7251	8.240	20.000	0.756	-1.064	0.010
7284	8.480	20.000	0.756	-1.064	0.080
7316	8.600	20.000	0.755	0.686	0.030
7350	8.831	20.000	0.756	2.436	-0.080
7384	9.062	20.000	0.757	1.186	-0.130
7418	9.174	20.000	0.758	-1.564	-0.020
7453	9.391	20.000	0.756	-2.814	0.150
7487	9.610	20.000	0.755	-0.064	0.130
7519	9.812	20.000	0.758	4.186	-0.370
7558	10.019	20.000	0.768	3.686	-0.910
7596	10.155	20.000	0.775	-8.814	-0.780
7634	10.161	20.000	0.772	-22.314	0.330
7665	10.218	20.000	0.755	-19.064	1.720
7700	10.289	20.000	0.746	8.686	0.870
7733	10.289	20.000	0.746	25.000	0.030
7767	10.263	20.000	0.754	22.186	-0.800
7801	10.451	20.000	0.765	1.186	-1.080
7836	10.463	20.000	0.768	-19.564	-0.310
7869	10.432	20.000	0.766	-25.000	0.130
7903	10.614	20.000	0.761	-7.314	0.540
7936	10.687	20.000	0.760	3.686	0.100
7969	10.734	20.000	0.766	13.936	-0.600
8003	10.921	20.000	0.776	2.936	-0.960
8036	10.944	20.000	0.778	-14.564	-0.230
8073	10.918	20.000	0.774	-23.564	0.350
8110	11.097	20.000	0.767	-5.314	0.700
8148	11.181	20.000	0.768	9.186	-0.020
8183	11.230	20.000	0.779	17.936	-1.160
8223	11.355	20.000	0.791	-0.064	-1.180
8257	11.150	20.000	0.796	-25.000	-0.470
8289	11.326	20.000	0.795	-25.000	0.030
8323	11.250	20.000	0.788	-11.314	0.760
8353	11.619	20.000	0.785	1.186	0.300
8386	11.514	20.000	0.784	19.436	0.080
8420	11.731	20.000	0.791	7.936	-0.700
8457	11.666	20.000	0.795	2.436	-0.440
8489	11.814	20.000	0.797	-17.064	-0.170
8520	11.833	20.000	0.790	-10.564	0.740
8560	12.067	20.000	0.780	-3.814	0.930
8612	12.047	20.000	0.777	18.936	0.390
8651	11.957	20.000	0.782	23.686	-0.520
8699	12.237	20.000	0.803	10.186	-2.140
8739	12.306	20.000	0.815	-12.564	-1.160
8784	12.333	20.000	0.818	-25.000	-0.350
8828	12.216	20.000	0.814	-25.000	0.440
8866	12.464	20.000	0.803	-8.314	1.050
8900	12.516	20.000	0.798	11.436	0.520
8949	12.409	20.000	0.801	25.000	-0.310
8991	12.531	20.000	0.814	13.436	-1.280
9030	12.527	20.000	0.824	-7.314	-0.940
9072	12.468	20.000	0.825	-25.000	-0.110
9116	12.345	20.000	0.817	-23.064	0.750
9157	12.893	20.000	0.804	-2.314	1.260
9203	12.553	20.000	0.802	19.186	0.250
9243	12.793	20.000	0.808	25.000	-0.560
9282	12.903	20.000	0.819	6.686	-1.110
9318	12.886	20.000	0.824	-13.564	-0.520
9355	12.677	20.000	0.824	-25.000	0.040
9389	12.783	20.000	0.816	-12.564	0.790
9423	12.892	20.000	0.809	1.436	0.660
9458	12.905	20.000	0.809	20.186	-0.030
9516	13.124	20.000	0.814	16.936	-0.420
9572	13.489	20.000	0.824	-0.314	-1.060
9610	13.507	20.000	0.823	-10.064	0.130
9669	13.433	20.000	0.811	-25.000	1.160
9724	13.719	20.000	0.798	3.686	1.270
9758	13.603	20.000	0.801	25.000	-0.240
9789	13.384	20.000	0.806	25.000	-0.530
9852	13.487	20.000	0.810	-5.564	-0.420
9904	13.607	20.000	0.791	-12.814	1.950
9956	13.760	20.000	0.769	-10.064	2.140
10010	13.784	20.000	0.742	25.000	2.770
10047	13.637	20.000	0.733	25.000	0.860
10088	13.482	20.000	0.733	25.000	-0.010
10126	13.612	20.000	0.744	21.936	-1.030
10165	13.798	20.000	0.753	0.186	-0.920
