time	speed	target_speed	cte	angle	steer_value
3721	0.000	20.000	0.760	0.000	-0.001
3745	0.438	20.000	0.760	0.000	-0.002
3771	1.314	20.000	0.760	0.417	-0.002
3798	1.752	20.000	0.760	0.398	-0.003
3827	2.190	20.000	0.760	0.379	-0.004
3854	3.066	20.000	0.760	0.360	-0.005
3881	3.504	20.000	0.760	0.341	-0.005
3913	3.942	20.000	0.760	0.322	-0.006
3943	4.818	20.000	0.760	0.303	-0.007
3970	5.256	20.000	0.760	0.284	-0.008
3996	6.132	20.000	0.760	0.265	-0.008
4024	6.570	20.000	0.760	0.246	-0.009
4053	4.885	20.000	0.760	0.227	-0.010
4081	3.214	20.000	0.760	0.208	-0.011
4108	1.749	20.000	0.760	0.189	-0.011
4137	0.801	20.000	0.760	0.170	-0.012
4164	1.375	20.000	0.760	0.151	-0.013
4192	1.734	20.000	0.759	0.132	-0.014
4216	1.877	20.000	0.759	0.113	-0.014
4248	1.751	20.000	0.759	0.094	-0.015
4279	1.386	20.000	0.759	0.075	-0.016
4312	1.250	20.000	0.759	0.057	-0.017
4338	1.202	20.000	0.759	0.037	-0.017
4367	1.256	20.000	0.759	0.018	-0.018
4399	1.453	20.000	0.758	-0.001	-0.019
4429	1.526	20.000	0.758	-0.019	-0.020
4458	1.708	20.000	0.758	-0.038	-0.021
4486	1.763	20.000	0.758	-0.057	-0.021
4513	1.997	20.000	0.757	-0.076	-0.022
4543	2.054	20.000	0.757	-0.095	-0.023
4575	2.222	20.000	0.756	-0.114	-0.024
4603	2.316	20.000	0.756	-0.133	-0.024
4630	2.419	20.000	0.756	-0.152	-0.025
4662	2.614	20.000	0.755	-0.171	-0.026
4703	2.828	20.000	0.754	-0.190	-0.027
4742	3.046	20.000	0.753	-0.209	-0.027
4775	3.282	20.000	0.753	-0.228	-0.028
4815	3.541	20.000	0.752	-0.246	-0.029
4856	3.795	20.000	0.751	-0.265	-0.030
4888	3.925	20.000	0.750	-0.284	-0.030
4919	4.191	20.000	0.749	-0.303	-0.031
4948	4.329	20.000	0.748	-0.322	-0.032
4980	4.609	20.000	0.747	-0.340	-0.033
5012	4.753	20.000	0.746	-0.359	-0.033
5045	5.046	20.000	0.744	-0.378	-0.034
5083	5.350	20.000	0.743	-0.396	-0.035
5116	5.654	20.000	0.741	-0.415	-0.036
5158	5.952	20.000	0.739	-0.433	-0.036
5192	6.244	20.000	0.737	-0.452	-0.037
5227	6.388	20.000	0.736	-0.470	-0.038
5273	6.807	20.000	0.732	-0.489	-0.038
5330	7.084	20.000	0.729	-0.507	-0.039
5381	7.485	20.000	0.725	-0.525	-0.040
5421	7.746	20.000	0.722	-0.544	-0.041
5454	7.999	20.000	0.719	-0.562	-0.041
5496	8.123	20.000	0.717	-0.580	-0.042
5537	8.487	20.000	0.712	-0.598	-0.043
5562	8.608	20.000	0.710	-0.616	-0.044
5592	8.725	20.000	0.708	-0.634	-0.044
5632	8.955	20.000	0.704	-0.651	-0.045
5673	9.183	20.000	0.700	-0.669	-0.046
5704	9.406	20.000	0.695	-0.687	-0.046
5732	9.625	20.000	0.691	-0.704	-0.047
5766	9.732	20.000	0.690	-0.722	-0.048
5806	9.941	20.000	0.689	-0.739	-0.048
5840	10.149	20.000	0.693	-0.756	-0.049
5869	10.250	20.000	0.698	-0.773	-0.050
5902	10.449	20.000	0.690	-0.791	-0.050
5931	10.547	20.000	0.689	-0.808	-0.051
5984	10.740	20.000	0.690	-0.825	-0.052
6032	11.025	20.000	0.693	-0.843	-0.053
6063	11.211	20.000	0.697	-0.860	-0.053
6094	11.312	20.000	0.701	-0.877	-0.054
6126	11.655	20.000	0.703	-0.894	-0.055
6154	11.590	20.000	0.707	-0.912	-0.055
6180	11.925	20.000	0.709	-0.930	-0.056
6212	11.549	20.000	0.711	-0.947	-0.057
6244	11.639	20.000	0.714	-0.965	-0.057
6278	11.895	20.000	0.718	-0.983	-0.058
6311	12.241	20.000	0.719	-1.001	-0.059
6361	12.265	20.000	0.722	-1.019	-0.060
6407	12.553	20.000	0.726	-1.037	-0.060
6440	12.571	20.000	0.728	-1.055	-0.061
6469	12.987	20.000	0.729	-1.073	-0.062
6500	13.104	20.000	0.731	-1.091	-0.063
6537	13.168	20.000	0.732	-1.109	-0.063
6567	13.108	20.000	0.732	-1.127	-0.064
6599	13.129	20.000	0.733	-1.146	-0.065
6631	13.496	20.000	0.733	-1.164	-0.065
6665	13.662	20.000	0.733	-1.182	-0.066
6699	13.663	20.000	0.733	-1.201	-0.067
6733	13.662	20.000	0.732	-1.219	-0.068
6762	13.776	20.000	0.731	-1.237	-0.068
6801	13.830	20.000	0.729	-1.256	-0.069
6830	14.098	20.000	0.728	-1.274	-0.070
6865	14.166	20.000	0.726	-1.292	-0.071
6899	14.361	20.000	0.723	-1.310	-0.071
6932	14.181	20.000	0.721	-1.329	-0.072
6962	14.318	20.000	0.717	-1.347	-0.073
6995	14.381	20.000	0.713	-1.365	-0.073
7029	14.630	20.000	0.710	-1.383	-0.074
7068	14.783	20.000	0.705	-1.400	-0.075
7099	14.866	20.000	0.699	-1.418	-0.076
7137	15.025	20.000	0.692	-1.436	-0.076
7168	14.840	20.000	0.688	-1.453	-0.077
7199	14.956	20.000	0.680	-1.470	-0.078
7234	15.257	20.000	0.676	-1.488	-0.078
7265	15.241	20.000	0.667	-1.505	-0.079
7303	15.432	20.000	0.657	-1.522	-0.080
7347	15.429	20.000	0.647	-1.538	-0.080
7381	15.623	20.000	0.635	-1.555	-0.081
7415	15.404	20.000	0.629	-1.571	-0.082
7458	15.785	20.000	0.610	-1.587	-0.082
7497	15.781	20.000	0.597	-1.603	-0.083
7528	15.705	20.000	0.589	-1.618	-0.083
7561	15.755	20.000	0.574	-1.633	-0.084
7603	15.950	20.000	0.566	-1.647	-0.084
7633	15.923	20.000	0.541	-1.662	-0.085
